"filename", "language", "JavaScript", "JSON", "TypeScript", "HTML", "CSS", "XML", "SCSS", "comment", "blank", "total"
"c:\Users\MarekP\RPi\src\web\ts\components\dialogs\error-dialog.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 0, 5, 33
"c:\Users\MarekP\RPi\src\web\ts\components\dialogs\yes-no-cancel-dialog.ts", "TypeScript", 0, 0, 48, 0, 0, 0, 0, 0, 8, 56
"c:\Users\MarekP\RPi\src\web\ts\components\example-component.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 17, 2, 25
"c:\Users\MarekP\RPi\src\web\ts\components\forms\login-form.ts", "TypeScript", 0, 0, 76, 0, 0, 0, 0, 0, 11, 87
"c:\Users\MarekP\RPi\src\web\ts\components\headers\header-component.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\MarekP\RPi\src\web\ts\components\menus\base-menu.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 5, 13
"c:\Users\MarekP\RPi\src\web\ts\components\menus\hamburger-menu.ts", "TypeScript", 0, 0, 124, 0, 0, 0, 0, 6, 29, 159
"c:\Users\MarekP\RPi\src\web\ts\components\menus\menu-item.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\MarekP\RPi\src\web\ts\components\others\app-icon.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 4, 30
"c:\Users\MarekP\RPi\src\web\ts\errors\base-error.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 0, 2, 30
"c:\Users\MarekP\RPi\src\web\ts\errors\component-errors.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 0, 3, 31
"c:\Users\MarekP\RPi\src\web\ts\errors\method-errors.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 0, 3, 40
"c:\Users\MarekP\RPi\src\web\ts\errors\page-errors.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 3, 30
"c:\Users\MarekP\RPi\src\web\ts\errors\system-errors\example-system-error.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\MarekP\RPi\src\web\ts\errors\system-errors\uknown-page-error.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\MarekP\RPi\src\web\ts\errors\system-errors\undefined-page-error.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\MarekP\RPi\src\web\ts\layouts\base-layout.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 5, 12
"c:\Users\MarekP\RPi\src\web\ts\layouts\frame-detail.ts", "TypeScript", 0, 0, 60, 0, 0, 0, 0, 0, 20, 80
"c:\Users\MarekP\RPi\src\web\ts\layouts\frame-list.ts", "TypeScript", 0, 0, 174, 0, 0, 0, 0, 8, 38, 220
"c:\Users\MarekP\RPi\src\web\ts\layouts\horizontal-stack.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 5, 15
"c:\Users\MarekP\RPi\src\web\ts\layouts\room-card.ts", "TypeScript", 0, 0, 294, 0, 0, 0, 0, 16, 53, 363
"c:\Users\MarekP\RPi\src\web\ts\layouts\tab-layout.ts", "TypeScript", 0, 0, 47, 0, 0, 0, 0, 0, 13, 60
"c:\Users\MarekP\RPi\src\web\ts\layouts\vertical-stack.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 5, 14
"c:\Users\MarekP\RPi\src\web\ts\pages\base-page.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 1, 3, 16
"c:\Users\MarekP\RPi\src\web\ts\pages\blank-page.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\MarekP\RPi\src\web\ts\pages\dashboard-page.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\MarekP\RPi\src\web\ts\pages\home-page.ts", "TypeScript", 0, 0, 48, 0, 0, 0, 0, 0, 11, 59
"c:\Users\MarekP\RPi\src\web\ts\pages\login-page.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 3, 5, 21
"c:\Users\MarekP\RPi\src\web\ts\pages\settings-page.ts", "TypeScript", 0, 0, 287, 0, 0, 0, 0, 17, 60, 364
"c:\Users\MarekP\RPi\src\web\tsconfig.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 61, 9, 81
"Total", "-", 3393, 2462, 2225, 112, 318, 106, 311, 428, 693, 10048
